name,price,change,volume,relative_volume,market_cap,pe,eps_diluted,eps_diluted_growth,dividends_yield,sector
MSFT,413.64,-1.9578099075610316,20273518,1.2148787121744582,3073525517118.504,37.41080069098375,11.0567,22.934178341116297,0.677886,america
AAPL,172.69,-2.18634947606911,73531610,1.3098323943779424,2666658451700.488,26.869456978372494,6.427,9.195011723130245,0.543755,america
NVDA,860.01,-2.4777175515387957,44306949,1.0632056867294277,2150024964286.3647,72.0487580111423,11.9365,585.4542322269438,0.0181435,america
GOOG,156.33,-1.7965952635215685,21140948,1.1175867383398501,1933955724452.008,26.929304761248538,5.8052,27.471948354230257,0,america
GOOGL,154.86,-1.8195650795663325,27136217,1.0187055036224657,1933503371426.687,26.676083511334667,5.8052,27.471948354230257,0,america
AMZN,183.62,-1.3485198517165373,48051558,1.3089309231229287,1907330923434.006,63.545127353266885,2.8896,,0,america
META,500.23,-2.2797421371361515,13512873,0.9930016279412723,1275288983640.0552,33.58082208333613,14.8963,73.51543389633079,0.0976753,america
BRK.A,604500,-0.5905366137634005,17132,1.1889296024872307,866293184472.2764,9.107872553191319,66371.1527,,0,america
BRK.B,400.26,-0.7439369141496801,3004477,1.0224089459510917,864956393887.216,9.045955242567924,44.2474,,0,america
LLY,750.77,-0.11574690011175624,2358569,1.0277165990438615,713806688779.325,132.06853483912957,5.6847,-16.39901173563928,0.623969,america
TSM,140.14,-1.6699410609037495,13458780,0.9945783545869826,656005714300.9061,,,,1.07586,america
AVGO,1310.69,-2.483501603339103,2437004,1.0632757548132892,607401593089.2042,48.58402093573235,26.9778,-8.304895789430752,1.4657,america
NVO,123.9,-0.4899204883141912,2896694,0.826974350752275,560531061201.375,45.86510698156511,2.7014,56.195432205839836,0.783695,america
NONOF,124.02,0.04840271055179274,1934,0.051917790567820636,555532078779.8438,45.00248514467394,2.7558478071,57.187289935761854,1.06818,america
V,271.28,-1.6958979562255425,10267489,1.7050763302918481,544992585784.05707,31.716413547987322,8.5533,22.06096412364073,0.703,america
JPM,182.89,0.05470758794244451,14766592,1.4176330428777346,526791139288.6234,11.04394874458038,16.5602,,2.24301,america
JPM/PK,20.23,-2.4119633381572596,107739,0.9459726425754857,526503102141,1.2216036038212101,16.5602,22.150591567580314,2.24301,america
JPM/PC,25.12,-0.672202451561875,154899,0.9580472779901288,526503102141,1.5168898926341472,16.5602,22.150591567580314,2.24301,america
JPM/PD,24.52,-0.929292929292931,138684,1.1794471862219233,526503102141,1.4806584461540322,16.5602,22.150591567580314,2.24301,america
JPM/PM,18.85,-2.179553710430712,197280,0.8992156476649928,526503102141,1.1382712769169456,16.5602,22.150591567580314,2.24301,america
JPM/PL,20.62,-2.135738016136684,119446,0.8634059741453839,526503102141,1.245154044033285,16.5602,22.150591567580314,2.24301,america
JPM/PJ,21.19,-2.440147329650081,74638,1.299462373079655,526503102141,1.2795739181893941,16.5602,22.150591567580314,2.24301,america
TSLA,161.48,-5.59485530546625,100234328,1.0034507986810113,514279983530.5645,37.52556237218813,4.3032,18.6402360012131,0,america
WMT,59.93,-0.3491852344529445,10557182,0.7986573588565202,482603848456.2654,31.324482542337446,1.9132,34.306774306774294,1.29282,america
XOM,119.68,-0.5732325330231767,15029528,0.8415214363433683,474871609273.11456,13.476566898632976,8.8806,-33.13002620403,3.09047,america
MA,459.79,-1.201168937212595,2070679,0.8674429285089884,428934193506.6492,38.8624991547772,11.8312,15.701768111406675,0.509261,america
LVMHF,841.75,1.3790196314585146,783,0.6101932668329176,421235899701.5524,25.1449682999289,33.47588233,23.301252278203783,1.6001,america
LVMUY,167.15,1.051931563992509,168677,1.0995391344593142,415896134783.8721,25.489508356715874,6.5576,16.3169377583057,1.26385,america
UNH,445.63,1.4640255009107483,5376771,0.9843459444702721,410841523593.6819,18.68610628894424,23.8482,12.574878565730272,1.7122,america
ASML,954.82,-0.7298511186891772,1077502,1.1366208320112339,379826592194.73267,44.40279767108764,21.5036,46.1090538474605,0.577601,america
ASMLF,952.33,-1.7710159876224814,432,1.0997963340122199,374667308904.7354,43.37483808780481,21.955816827999996,44.89802114812048,0.665565,america
TCEHY,38.47,-0.5943152454780465,2526488,1.1543473709767957,369708925988.604,22.94798377475543,1.6764,-40.33526711036765,0.680708,america
PG,155.45,0.0772548767140772,5753987,0.8572183933262671,365777118154.8599,26.034601148905523,5.9709,4.8630136986301435,2.42246,america
TCTZF,38.0978,-1.3265993265993266,5289,0.39610263169719756,356679721296.1183,22.67350292139632,1.6802785230000001,-40.31858904854019,0.775194,america
JNJ,147.59,0.047451193058563705,8502266,1.2756400389665683,355509981119.2623,26.46357425902351,5.5771,-17.238974298094625,3.22668,america
HD,337.93,-1.4407793041094286,4209165,1.0227596531034386,334893946638.19196,22.379321991245092,15.1001,-9.486474012000462,2.48491,america
TM,241.67,-0.5350454788657083,158402,0.6173376946547571,332856457671.06866,10.30703157320095,23.4471,73.32914433561264,1.64777,america
ORCL,119.88,-1.0156056477582396,5101455,0.8702602702492876,329491849912.26556,31.676575505350772,3.7845,24.34696895022179,1.32111,america
TOYOF,24.174,-1.0276356192425844,6322,0.06830193734631523,327513412476.56085,10.257361524404823,2.356746415,74.19271161371826,1.72551,america
MRK,126.19,0.3578813424526824,6241069,0.998991831343231,319594315544.109,954.538577912254,0.1322,-97.68565526417142,2.38588,america
COST,718.28,-1.7817341483091949,1807986,0.9413083944377199,318560072398.2812,46.99370608324719,15.2846,12.313265583551933,2.60902,america
CVX,157.59,-0.8618520382486188,7235644,0.9074836253918435,292687060080.4288,13.885927270484364,11.3489,-37.83332237779092,3.87519,america
ABBV,161.67,-0.37589351737738086,5433730,0.9749168556805732,286260493915.8052,59.42876047640052,2.7204,-58.976369640945215,3.69115,america
BAC,35.95,0.4470522492316393,44391988,1.2346422142621016,283022052088.5974,11.696382092660075,3.0736,,2.62643,america
BAC/PE,23.03,-1.2435677530017115,23745,1.5340732892288609,281762426822,7.492842269651224,3.0736,-3.467336683417094,2.62643,america
BML/PJ,22.34,-0.9312638580931301,23484,2.380875136866864,281762426822,7.2683498178032275,3.0736,-3.467336683417094,2.62643,america
